url,locale,title,meta_description,h1,page_excerpt,http_status,content_type
http://127.0.0.1:3002/en,en,Mersin Dövme & Piercing | Enki Tattoo,Mersin Dövme & Piercing | Enki Tattoo,Home,"Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Home Enki Tattoo Studio Mersin Pick your style, see examples, book fast.",200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet,en,Dövme Stilleri & Tasarım Fikirleri | Enki Tattoo,"Minimal & Fine Line, Yazı/İsim Realistik, Portre, Traditional, Cover-Up, Blackwork, Atatürk ve Custom tasarımlarını keşfet. WhatsApp’tan yaz, fiyat öğren.",Discover,"Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Discover Pick your style, see examples, book fast.",200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/minimal-fine-line-dovme,en,Fine Line & Minimal Dövme | Enki Tattoo,"Minimal tattoo, fine line, linework ve micro tarzında kol-bacak örnekleri; ince çizgi, küçük dövme ve sade tasarımlar. Hemen ulaş.Anında tasarla.",Minimal & Fine Line Tattoo,Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Minimal & Fine Line Tattoo WhatsApp Phone Minimal Tattoo styles built on fine lines and clean composition. We shape line wei,200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/yazi-isim-dovmesi,en,Lettering (Yazı/İsim) Dövme | Enki Tattoo,"İsim, tarih, harf, el yazısı ve çift yazısı lettering dövme tasarım fikirleri. Kol/bilek için ideal. WhatsApp’tan yaz, fiyat al.",Lettering & Name Tattoo,"Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Lettering & Name Tattoo WhatsApp Phone Lettering Tattoo options focused on names, dates, and typography. We define font char",200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/realistik-dovme,en,Realistik Dövme | Enki Tattoo,"Realistik dövme: fotoğraf gibi detay, ışık-gölge. Kol, bacak, sırt ve göğüs tasarım uygulamaları. WhatsApp’tan yaz, fiyat öğren.",Realistic Tattoo,"Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Realistic Tattoo WhatsApp Phone Realistic Tattoo work with depth, light-shadow balance, and detail. Using your references, w",200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/portre-dovme,en,Portre Dövme (Kadın/Erkek) | Enki Tattoo,"Portre dövme: kadın/erkek/çocuk ve hayvan portreleri. Kol, bacak, sırt, göğüs için tasarım. WhatsApp’tan yaz, fiyat öğren.",Portrait Tattoo,Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Portrait Tattoo WhatsApp Phone Portrait Tattoo approach focused on facial expression and detail. We define reference quality,200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/traditional-dovme,en,Old School & Traditional Dövme | Enki Tattoo,"Old school/traditional: kalın çizgi, canlı renk, klasik ikonlar. Kol, bacak, sırt için. Fiyat al. Tasarıma başla!",Traditional Tattoo,"Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Traditional Tattoo WhatsApp Phone Traditional Tattoo style with bold lines and classic iconography. We plan color use, line ",200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/dovme-kapatma,en,Cover-Up (Kapatma) / Dövme Sildirme | Enki Tattoo,"Cover-up: yeni tasarım ile eski dövmeyi kapatma,düzeltme veya dövme sildirme. Hemen teklif al.",Cover-Up Tattoo,Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Cover-Up Tattoo WhatsApp Phone Cover-Up Tattoo solutions focused on transforming existing work. We analyze existing density ,200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/ataturk-temali-dovme,en,Atatürk Dövmesi (Portre/İmza) | Enki Tattoo,"Atatürk dövmesi için portre, imza ve silüet tasarım seçenekleri. Anlamını konuşalım; Hemen ara. Fiyat al!",Ataturk-Themed Tattoo,"Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Ataturk-Themed Tattoo WhatsApp Phone Ataturk-themed Tattoo designs with portrait, signature, and symbolic elements. We align",200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/blackwork-dovme,en,Blackwork Dövme | Enki Tattoo,"Blackwork: yoğun siyah ve keskin kontrastla güçlü tasarım. Kol, bacak, sırt örnekleri. Tasarımını seç fiyat al.",Blackwork Tattoo,Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Blackwork Tattoo WhatsApp Phone Blackwork Tattoo style with strong contrast and graphic black forms. We shape filled-empty b,200,text/html; charset=utf-8
http://127.0.0.1:3002/en/kesfet/kisiye-ozel-dovme-tasarimi,en,Kişiye Özel Dövme Tasarımı | Enki Tattoo,"Kişiye özel dövme tasarımı: fikrini ve referanslarını paylaş; stil, ölçü ve yerleşimi netleştirelim. Fiyat al, tasarımını keşfet.",Custom Tattoo Design,Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Custom Tattoo Design WhatsApp Phone Custom Tattoo Design process built from your idea and references. We turn your reference,200,text/html; charset=utf-8
http://127.0.0.1:3002/en/galeri-tasarim,en,Dövme Tasarım Galerisi: Tüm Stiller | Enki Tattoo,"Minimal & Fine Line, Lettering, Realistik, Portre, Traditional, Cover-Up, Blackwork, Atatürk ve Kişiye Özel tasarım örnekleri. Tarzını keşfet, teklif al",Gallery Design,Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme En çok tercih edilen dövme örnekleri burada; en iyi tasarımı keşfet.,200,text/html; charset=utf-8
http://127.0.0.1:3002/en/dovme-egitimi,en,Dövme Eğitimi (Mersin) | Enki Tattoo,"Mersin’de dövme eğitimi: hijyen, ekipman, çizgi, shading ve stencil. Başlangıçtan ileri seviyeye stüdyo içinde uygulamalı öğren. WhatsApp’tan yaz.",Tattoo Training,Enki Home Discover Piercing Gallery Artists Enki Tattoo Studio Toggle theme Tattoo Training WhatsApp Phone Structured in-studio Tattoo Training with practical guidance in Mersin. Review a step-by-step,200,text/html; charset=utf-8
